epoch,batch,train_loss,val_loss
0,0,222.32777404785156,223.34402465820312
1,0,216.2015380859375,217.02743530273438
2,0,210.05072021484375,210.63356018066406
3,0,203.82284545898438,204.09242248535156
4,0,197.4489288330078,197.32554626464844
5,0,190.8516845703125,190.2589111328125
6,0,183.9564971923828,182.820556640625
7,0,176.68971252441406,174.9349822998047
8,0,168.97434997558594,166.52101135253906
9,0,160.72866821289062,157.49362182617188
10,0,151.86831665039062,147.76968383789062
11,0,142.31231689453125,137.27853393554688
12,0,131.9940948486328,125.97818756103516
13,0,120.8784408569336,113.8807601928711
14,0,108.98743438720703,101.08263397216797
15,0,96.43122100830078,87.79936218261719
16,0,83.4415054321289,74.39518737792969
17,0,70.3978500366211,61.38697814941406
18,0,57.829647064208984,49.38580322265625
19,0,46.350975036621094,38.96118927001953
20,0,36.51715850830078,30.495223999023438
21,0,28.68268585205078,24.119775772094727
22,0,22.938705444335938,19.75758934020996
23,0,19.13617515563965,17.185871124267578
24,0,16.984668731689453,16.051185607910156
25,0,16.132219314575195,15.912629127502441
26,0,16.179645538330078,16.347274780273438
27,0,16.739553451538086,17.021997451782227
28,0,17.499326705932617,17.719648361206055
29,0,18.252050399780273,18.325790405273438
30,0,18.888687133789062,18.791807174682617
31,0,19.36471939086914,19.10845375061035
32,0,19.673870086669922,19.282438278198242
33,0,19.82558250427246,19.329341888427734
34,0,19.837675094604492,19.26661491394043
35,0,19.729406356811523,19.112234115600586
36,0,19.520397186279297,18.883800506591797
37,0,19.229780197143555,18.598541259765625
38,0,18.876026153564453,18.271995544433594
39,0,18.4760799407959,17.9185848236084
40,0,18.04556655883789,17.55148696899414
41,0,17.59889030456543,17.182270050048828
42,0,17.148649215698242,16.821006774902344
43,0,16.706066131591797,16.476051330566406
44,0,16.28034782409668,16.153871536254883
45,0,15.878740310668945,15.8603515625
46,0,15.507662773132324,15.597652435302734
47,0,15.169748306274414,15.36824893951416
48,0,14.867685317993164,15.171201705932617
49,0,14.600768089294434,15.006298065185547
50,0,14.368736267089844,14.87010669708252
51,0,14.168313980102539,14.759389877319336
52,0,13.996285438537598,14.670181274414062
53,0,13.84875202178955,14.598169326782227
